iter	MultiClass
0	6.028215663
1	5.895301116
2	5.806525286
3	5.733894462
4	5.677790443
5	5.619449828
6	5.561736419
7	5.514983014
8	5.479236077
9	5.451643853
10	5.412782552
11	5.38987738
12	5.353767604
13	5.323916211
14	5.288624209
15	5.265949307
16	5.245095029
17	5.217139802
18	5.1865822
19	5.164465749
20	5.146165587
21	5.125026272
22	5.108919468
23	5.0920236
24	5.080122697
25	5.072474455
26	5.062950471
27	5.054377316
28	5.037597845
29	5.023581796
30	5.010435961
31	5.000288424
32	4.989090175
33	4.979411113
34	4.97119012
35	4.948862143
36	4.937810487
37	4.914750031
38	4.903269695
39	4.892292317
40	4.874955816
41	4.859980111
42	4.84745572
43	4.834686083
44	4.820298101
45	4.814473417
46	4.807077742
47	4.792992648
48	4.782271313
49	4.77483885
50	4.766807495
51	4.751534577
52	4.742683199
53	4.737342185
54	4.720782319
55	4.711961237
56	4.703928212
57	4.696433623
58	4.691704082
59	4.686218147
60	4.680180667
61	4.670807065
62	4.65911075
63	4.648910504
64	4.64322208
65	4.634176289
66	4.62344782
67	4.614792001
68	4.606271487
69	4.59993816
70	4.595565263
71	4.589497567
72	4.584922326
73	4.579722734
74	4.573117668
75	4.566612792
76	4.554601833
77	4.548584122
78	4.543170881
79	4.536672838
80	4.529227301
81	4.524225565
82	4.515033298
83	4.511396173
84	4.503412227
85	4.498463647
86	4.489486717
87	4.483963354
88	4.480622014
89	4.474515313
90	4.462164027
91	4.454253399
92	4.449944483
93	4.444812046
94	4.439549978
95	4.435272335
96	4.431025642
97	4.4235572
98	4.417849688
99	4.413692145
100	4.408466324
101	4.401633756
102	4.394885808
103	4.389197748
104	4.381741122
105	4.376034939
106	4.370809568
107	4.365308294
108	4.361500717
109	4.355527806
110	4.346579538
111	4.341663744
112	4.336716078
113	4.331534334
114	4.327814546
115	4.322994178
116	4.317947338
117	4.311978535
118	4.307644714
119	4.299499723
120	4.294827669
121	4.291142867
122	4.285172608
123	4.280146711
124	4.27412011
125	4.268799823
126	4.262064834
127	4.257754268
128	4.252559303
129	4.247973135
130	4.241008383
131	4.236495144
132	4.230074183
133	4.224805896
134	4.220965898
135	4.216254888
136	4.211842715
137	4.206992117
138	4.203417462
139	4.199473491
140	4.195112652
141	4.187663896
142	4.184013717
143	4.179447124
144	4.175484184
145	4.164386016
146	4.160512784
147	4.156892889
148	4.152848374
149	4.147711897
150	4.143353763
151	4.139409842
152	4.135345102
153	4.130048929
154	4.126257711
155	4.122500309
156	4.119140347
157	4.116040232
158	4.111977231
159	4.10653512
160	4.10333441
161	4.100228141
162	4.096728012
163	4.093015511
164	4.089705694
165	4.086411395
166	4.082616817
167	4.078779074
168	4.067303099
169	4.063895583
170	4.060878586
171	4.057436532
172	4.054273727
173	4.051105905
174	4.047791257
175	4.043712367
176	4.03435563
177	4.017689911
178	4.014983729
179	4.011951609
180	4.007560883
181	4.004313007
182	3.999909338
183	3.996477552
184	3.980250888
185	3.97629314
186	3.972924409
187	3.969456322
188	3.965706493
189	3.962790909
190	3.955584853
191	3.953233791
192	3.950302969
193	3.947561032
194	3.944713577
195	3.941485414
196	3.928730476
197	3.923720859
198	3.912734824
199	3.910076594
200	3.904726469
201	3.90217427
202	3.891859731
203	3.888122028
204	3.884484559
205	3.874340945
206	3.869857611
207	3.8606919
208	3.858016678
209	3.849673731
210	3.846805744
211	3.843790359
212	3.841559313
213	3.8393442
214	3.835768542
215	3.832990702
216	3.829904922
217	3.822661942
218	3.819416236
