iter	Passed	Remaining
0	45371	45325726
1	84774	42302456
2	123963	41197110
3	161708	40265433
4	194059	38617761
5	226434	37512570
6	258658	36692513
7	298093	36963610
8	337405	37152118
9	375155	37140379
10	416140	37414805
11	453315	37322974
12	490702	37255652
13	526813	37102745
14	565366	37125760
15	590462	36313439
16	614759	35547552
17	638528	34835292
18	663122	34238065
19	691259	33871722
20	718819	33510689
21	746434	33182384
22	770845	32744194
23	794761	32320284
24	819429	31957758
25	846145	31697927
26	874515	31514931
27	905528	31434765
28	937610	31393799
29	969448	31345491
30	997225	31171336
31	1028194	31102874
32	1060166	31066088
33	1093923	31080295
34	1131685	31202185
35	1163757	31162840
36	1194266	31083200
37	1225621	31027563
38	1256355	30957897
39	1286974	30887396
40	1317892	30825820
41	1349526	30782051
42	1379841	30709502
43	1410455	30645344
44	1443233	30628615
45	1474295	30575600
46	1505885	30534222
47	1538173	30507109
48	1569238	30456030
49	1600439	30408359
50	1630989	30349199
51	1661836	30296556
52	1692248	30236975
53	1724042	30202665
54	1756081	30172669
55	1787003	30123779
56	1818880	30091300
57	1850520	30055012
58	1883137	30034453
59	1915425	30008330
60	1946707	29966535
61	1976835	29907603
62	2007845	29862724
63	2038275	29809774
64	2068539	29755138
65	2099378	29709392
66	2131159	29677191
67	2163553	29653404
68	2194156	29605207
69	2224667	29556296
70	2254842	29503498
71	2285737	29460611
72	2317115	29424189
73	2347775	29378918
74	2378306	29332443
75	2409245	29291354
76	2440525	29254612
77	2472233	29223067
78	2504062	29192934
79	2534633	29148289
80	2564725	29098554
81	2595226	29053875
82	2625288	29004692
83	2655750	28960331
84	2687441	28929520
85	2718061	28887306
86	2748614	28844660
87	2778493	28795291
88	2808674	28749465
89	2839542	28710933
90	2871526	28683713
91	2902237	28643824
92	2932332	28598127
93	2963243	28560619
94	2993478	28516820
95	3024409	28479853
96	3055525	28444734
97	3085518	28399360
98	3115369	28353013
99	3145590	28310313
100	3176324	28272435
101	3206550	28230217
102	3237580	28195242
103	3268584	28160113
104	3298452	28115383
105	3329219	28078513
106	3359976	28041675
107	3390354	28001818
108	3420952	27963930
109	3452471	27933630
110	3483369	27898336
111	3513997	27860977
112	3544089	27819532
113	3574839	27783399
114	3605577	27747268
115	3637533	27720517
116	3668163	27683659
117	3698750	27646593
118	3729711	27612405
119	3760009	27573404
120	3790419	27535360
121	3822006	27505918
122	3852798	27470765
123	3882740	27429680
124	3913614	27395303
125	3944108	27358338
126	3974902	27323543
127	4005661	27288570
128	4036384	27253418
129	4067188	27218880
130	4097412	27180548
131	4128123	27145536
132	4158862	27110778
133	4189620	27076205
134	4221314	27047684
135	4251774	27011275
136	4282653	26977593
137	4314354	26949086
138	4344432	26910479
139	4374746	26873444
140	4406177	26843306
141	4436458	26806207
142	4466802	26769577
143	4496462	26728969
144	4526992	26693644
145	4557886	26660515
146	4589011	26628754
147	4619925	26595787
148	4650495	26560883
149	4681361	26527715
150	4711544	26490735
151	4742314	26457125
152	4774031	26428789
153	4804484	26393469
154	4834937	26358208
155	4865515	26323683
156	4896526	26291540
157	4926959	26256327
158	4958160	26225237
159	4988572	26190005
160	5019040	26155125
161	5050027	26122983
162	5079943	26085354
163	5109914	26048098
164	5141318	26018187
165	5172657	25987927
166	5203334	25954354
167	5234247	25921986
168	5264917	25888440
169	5295773	25855835
170	5325892	25819676
171	5358177	25794019
172	5388696	25759839
173	5419586	25727462
174	5449954	25692644
175	5480419	25658327
176	5510818	25623747
177	5542217	25593835
178	5572816	25560235
179	5602583	25522880
180	5633372	25490230
181	5663890	25456388
182	5694085	25421134
183	5725692	25392200
184	5757772	25365322
185	5788163	25330995
186	5818186	25295108
187	5848404	25260128
188	5879302	25228117
189	5910563	25197663
190	5941143	25164321
191	5971782	25131250
192	6002621	25099043
193	6034462	25071013
194	6064961	25037405
195	6096279	25007186
196	6126937	24974266
197	6157178	24939683
198	6187820	24906754
199	6217948	24871794
200	6248953	24840369
201	6281188	24813803
202	6312002	24781604
203	6342604	24748594
204	6372791	24713995
205	6403474	24681352
206	6434052	24648326
207	6464973	24616630
208	6496492	24587205
209	6527593	24556184
210	6557704	24521464
211	6588321	24488667
212	6618891	24455716
213	6649919	24424470
214	6681313	24394564
215	6711146	24358977
216	6741301	24324602
217	6771341	24289859
218	6802080	24257646
219	6833052	24226275
220	6863899	24194468
221	6893802	24159361
222	6924222	24126103
223	6954853	24093600
224	6985227	24060227
225	7015481	24026471
226	7046937	23996839
227	7077130	23962916
228	7107949	23931132
229	7138407	23898146
230	7168572	23864210
231	7198600	23829851
232	7229824	23799466
233	7260860	23768457
234	7291006	23734553
235	7321672	23702363
236	7352659	23671218
237	7383303	23638980
238	7413740	23606094
239	7444963	23575717
240	7474659	23540525
241	7504486	23505789
242	7537481	23480960
243	7568640	23450379
244	7599135	23417745
245	7630931	23389114
246	7661357	23356285
247	7691298	23322001
248	7721692	23289121
249	7752362	23257088
250	7783673	23226977
251	7814983	23196855
252	7846450	23167189
253	7876400	23133049
254	7906921	23100613
255	7937380	23068013
256	7967792	23035292
257	7998644	23003853
258	8029108	22971311
259	8059785	22939389
260	8090116	22906499
261	8121348	22876164
262	8151751	22843500
263	8182497	22811811
264	8213555	22780992
265	8243969	22748395
266	8275528	22718961
267	8306286	22687321
268	8336564	22654382
269	8368437	22625776
270	8400165	22596756
271	8430869	22564974
272	8463077	22537206
273	8493918	22505785
274	8524603	22473954
275	8555030	22441456
276	8586181	22410863
277	8616477	22378045
278	8647847	22348021
279	8678415	22315924
280	8708766	22283285
281	8739633	22251974
282	8770817	22221471
283	8801147	22188807
284	8832029	22157546
285	8862806	22126027
286	8893817	22095092
287	8924405	22063112
288	8956799	22035587
289	8987310	22003414
290	9018093	21971918
291	9048741	21940098
292	9079583	21908757
293	9110101	21876638
294	9141510	21846660
295	9171785	21813977
296	9202724	21782879
297	9232863	21749900
298	9263716	21718612
299	9293622	21685119
300	9326181	21657809
301	9358304	21629457
302	9388915	21597604
303	9419986	21566810
304	9449956	21533507
305	9480062	21500534
306	9510738	21468865
307	9541539	21437483
308	9571690	21404654
309	9601869	21371903
310	9632514	21340201
311	9663301	21308818
312	9694281	21277864
313	9725832	21248156
314	9755981	21215387
315	9786548	21183542
316	9817085	21151637
317	9847346	21119151
318	9878225	21087997
319	9909911	21058562
320	9940746	21027310
321	9971317	20995506
322	10002308	20964591
323	10032993	20933035
324	10064249	20902672
325	10096190	20873719
326	10126589	20841574
327	10157346	20810173
328	10188321	20779221
